Produit;Version;SystemeExploitation;DateCreation;DateResolution;Statut;Probleme;Resolution
Maître des Investissements;2.1;Windows;05/01/2023 00:00:00;20/01/2023 00:00:00;Résolu;"Les utilisateurs rencontrent des plantages fréquents de l'application lorsqu'ils tentent de synchroniser leurs portefeuilles avec les serveurs de l'entreprise. L'application se ferme de manière inattendue après avoir cliqué sur le bouton de synchronisation.";"Les logs ont montré une incompatibilité avec une bibliothèque spécifique utilisée pour la communication réseau. La bibliothèque a été mise à jour et les utilisateurs ont été invités à télécharger la dernière version de l'application. Des tests supplémentaires ont été effectués pour garantir la stabilité de la nouvelle version."
Planificateur d'Entraînement;1.0;Android;10/02/2023 00:00:00;;En cours;"Les utilisateurs signalent que les notifications d'entraînement ne se déclenchent pas à l'heure prévue. Certaines notifications sont retardées de plusieurs heures, tandis que d'autres ne se déclenchent pas du tout.";"En cours d'investigation. Une analyse préliminaire suggère que le problème pourrait être lié à la gestion des permissions de l'application sous Android 12. Une mise à jour est en cours de développement pour résoudre ce problème. En attendant, les utilisateurs ont été conseillés de vérifier et d'ajuster les paramètres de notification et de permissions."
Planificateur d'Anxiété Sociale;1.1;MacOS;15/03/2023 00:00:00;05/04/2023 00:00:00;Résolu;"L'application se bloque lors de la génération de rapports de progrès hebdomadaires. Les utilisateurs voient un message d'erreur indiquant ""Erreur inattendue"" après avoir cliqué sur le bouton ""Générer le rapport"".";"Le problème a été causé par une gestion incorrecte des dates dans le code de génération de rapports. Une mise à jour a été déployée pour corriger la gestion des dates et améliorer la robustesse du processus de génération de rapports. Les utilisateurs ont été informés de la mise à jour et invités à réessayer de générer leurs rapports."
Trader en Herbe;1.0;Linux;22/01/2023 00:00:00;15/02/2023 00:00:00;Résolu;"Des utilisateurs signalent que l'application ne démarre pas après l'installation. Lorsque l'utilisateur essaie de lancer l'application, une fenêtre vide apparaît et se ferme immédiatement.";"Le problème a été identifié comme étant un conflit avec une version spécifique de Linux. Une mise à jour de l'application a été déployée pour corriger ce problème de compatibilité."
Trader en Herbe;1.1;Windows;03/03/2023 00:00:00;;En cours;"Les utilisateurs rencontrent des erreurs lors de l'importation de leurs données de portefeuille. L'application affiche un message d'erreur ""Importation échouée"" sans fournir de détails supplémentaires.";"En cours d'investigation. Une analyse préliminaire suggère que le problème pourrait être lié à des formats de fichier non pris en charge. Une mise à jour de l'application est en cours de développement pour améliorer la gestion des erreurs et la compatibilité des formats de fichier."
Trader en Herbe;1.1;MacOS;22/01/2023 00:00:00;15/02/2023 00:00:00;Résolu;"Les utilisateurs signalent que l'application ne démarre pas après l'installation. Lorsque l'utilisateur essaie de lancer l'application, une fenêtre vide apparaît et se ferme immédiatement.";"Le problème a été identifié comme étant un conflit avec une version spécifique de macOS. Une mise à jour de l'application a été déployée pour corriger ce problème de compatibilité, et les utilisateurs ont été informés de la nécessité de mettre à jour leur application."
Trader en Herbe;1.2;Linux;10/04/2023 00:00:00;25/04/2023 00:00:00;Résolu;"L'application affiche des graphiques incorrects pour les tendances de marché. Les utilisateurs remarquent que les graphiques ne se mettent pas à jour en temps réel et montrent des données obsolètes.";"Le problème a été identifié comme étant une erreur dans le code de mise à jour des graphiques. Une mise à jour a été déployée pour corriger ce problème et les utilisateurs ont été informés de la mise à jour. Les graphiques se mettent désormais à jour en temps réel comme prévu."
Trader en Herbe;1.3;Android;18/05/2023 00:00:00;;En cours;"L'application consomme une quantité excessive de batterie. Les utilisateurs signalent que leur batterie se vide rapidement lorsqu'ils utilisent l'application, même pendant de courtes périodes.";"En cours d'investigation. Les développeurs sont en train de profiler l'application pour identifier les fuites de mémoire ou les processus gourmands en ressources. Une mise à jour est prévue pour optimiser la consommation d'énergie de l'application."
Maître des Investissements;1.0;MacOS;12/01/2023 00:00:00;28/01/2023 00:00:00;Résolu;"Les utilisateurs signalent que l'application plante lorsqu'ils essaient d'ajouter une nouvelle transaction à leur portefeuille. L'application se ferme de manière inattendue après avoir cliqué sur le bouton ""Ajouter"".";"Le problème a été identifié comme étant une erreur dans la gestion de la mémoire lors de l'ajout de nouvelles transactions. Une mise à jour a été déployée pour corriger cette gestion de mémoire et stabiliser l'application."
Maître des Investissements;2.1;Windows;01/02/2023 00:00:00;15/02/2023 00:00:00;Résolu;"Les utilisateurs rencontrent des problèmes de lenteur lors de la génération de rapports financiers mensuels. L'application prend plusieurs minutes pour générer un rapport, ce qui ralentit considérablement le flux de travail.";"Après investigation, il s'est avéré que le code responsable de la génération des rapports n'était pas optimisé et effectuait des requêtes redondantes à la base de données. Les développeurs ont remanié l'algorithme pour réduire le nombre de requêtes, mise en cache des données fréquemment utilisées et parallélisation de certains calculs. Dans la nouvelle version, les temps de génération des rapports ont été considérablement réduits, passant de plusieurs minutes à quelques secondes seulement. Des tests de charge ont confirmé les gains de performances."
